year,term,college,subject,subject_name,number,name,description,credit_hours,gen_ed,gen_ed_name,crn,section,section_info,section_notes,section_attributes,section_capp_area,section_co_request,section_special_approval,part_of_term,start_date,end_date,meeting,type,type_name,start_time,end_time,days,room,building,instructor
2017,Winter,KM,BADM,Business Administration,380,International Business,"Introduces the field of international business and management. Examines the economic, political, and legal environments of international business. Analyzes differences in financial management, marketing, and management practices for firms doing business abroad.",3 hours.,,Quantitative Reasoning II,10017,A  ,"More seats will be added to this section on Wednesday, November 9, 2016 around 10:00am.  Please be aware this course will be cancelled if a 20 student minimum enrollment is not met.   Please find information about the online course here: http://publish.illinois.edu/onlinestudentorientation/.",,,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Bucheli, M"
2017,Winter,KY,CHLH,Community Health,100,Contemporary Health,"Examines concepts of health and health promotion in contemporary society with emphasis on a healthy lifestyle for individuals and groups. Topics include self care, health insurance, exercise, nutrition and weight control, sexuality, contraception, tobacco, alcohol, cardiovascular health, infectious diseases, and cancer.",3 hours.,1SS,Social & Beh Sci - Soc Sci,10028,ON ,"Even though you see Departmental Approval Required, registration will close at 9 AM on the first day of instruction and no overrides will be provided after this that time.",,Social Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Trask, J"
2017,Winter,KP,CS,Computer Science,199,Undergraduate Open Seminar,May be repeated.,1 TO 5 hours.,,Social & Beh Sci - Soc Sci,10030,GAM,,,,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Angrave, L"
2017,Winter,KP,CS,Computer Science,199,Undergraduate Open Seminar,May be repeated.,1 TO 5 hours.,,Social & Beh Sci - Soc Sci,10030,GAM,,,,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Shaffer, E"
2017,Winter,KR,DANC,Dance,100,Intro to Contemporary Dance,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",3 hours.,1WCC,Cultural Studies - Western,10027,OL1,This online course will use Compass.,,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Ferrell, R"
2017,Winter,KR,DANC,Dance,100,Intro to Contemporary Dance,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",3 hours.,1LA,Humanities – Lit & Arts,10027,OL1,This online course will use Compass.,,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Ferrell, R"
2017,Winter,KR,DANC,Dance,100,Intro to Contemporary Dance,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",3 hours.,1WCC,Cultural Studies - Western,10027,OL1,This online course will use Compass.,,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Maybee, C"
2017,Winter,KR,DANC,Dance,100,Intro to Contemporary Dance,"Overview of major works, figures, and trends responsible for shaping dance as an evolving contemporary art form. The course will have lecture, viewing, discussion and experiential (studio participation) components. For non-dance majors.",3 hours.,1LA,Humanities – Lit & Arts,10027,OL1,This online course will use Compass.,,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Maybee, C"
2017,Winter,KV,ECON,Economics,102,Microeconomic Principles,"Introduction to the functions of individual decision-makers, both consumers and producers, within the larger economic system. Primary emphasis on the nature and functions of product markets, the theory of the firm under varying conditions of competition and monopoly, and the role of government in prompting efficiency in the economy. Credit is not given for ECON 102 and ACE 100.",3 hours.,1SS,Social & Beh Sci - Soc Sci,10019,ONL,,,Social Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Sarmiento Barbieri, I"
2017,Winter,KV,ECON,Economics,102,Microeconomic Principles,"Introduction to the functions of individual decision-makers, both consumers and producers, within the larger economic system. Primary emphasis on the nature and functions of product markets, the theory of the firm under varying conditions of competition and monopoly, and the role of government in prompting efficiency in the economy. Credit is not given for ECON 102 and ACE 100.",3 hours.,1SS,Social & Beh Sci - Soc Sci,10019,ONL,,,Social Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Vazquez, J"
2017,Winter,KV,ECON,Economics,103,Macroeconomic Principles,"Introduction to the theory of determination of total or aggregate income, employment, output, price levels, and the role of money in the economy. Primary emphasis on monetary and fiscal policy, inflation, unemployment, economic growth, and international economics.",3 hours.,1SS,Social & Beh Sci - Soc Sci,10020,ONL,,,Social Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Petry, J"
2017,Winter,KV,ECON,Economics,103,Macroeconomic Principles,"Introduction to the theory of determination of total or aggregate income, employment, output, price levels, and the role of money in the economy. Primary emphasis on monetary and fiscal policy, inflation, unemployment, economic growth, and international economics.",3 hours.,1SS,Social & Beh Sci - Soc Sci,10020,ONL,,,Social Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Schneider, R"
2017,Winter,KV,ECON,Economics,203,Economic Statistics II,"Continuation of ECON 202. Builds upon point and interval estimation as well as hypothesis testing skills first introduced in ECON 202. Utilizes a practical project format to extend the student skill set to include simple and multiple linear regression and time series techniques. Prerequisite: ECON 202; one of MATH 220, MATH 221, MATH 234.",3 hours.,,Social & Beh Sci - Soc Sci,10021,ONL,,,,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Arga, D"
2017,Winter,KV,ECON,Economics,203,Economic Statistics II,"Continuation of ECON 202. Builds upon point and interval estimation as well as hypothesis testing skills first introduced in ECON 202. Utilizes a practical project format to extend the student skill set to include simple and multiple linear regression and time series techniques. Prerequisite: ECON 202; one of MATH 220, MATH 221, MATH 234.",3 hours.,,Social & Beh Sci - Soc Sci,10021,ONL,,,,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Petry, J"
2017,Winter,KV,ECON,Economics,302,Inter Microeconomic Theory,"Microeconomic analysis including value and distribution theory; analysis of the pricing of the factors of production integrated in a micro-general equilibrium context which builds towards explaining the resource allocation process. Prerequisite: ECON 102 or equivalent. MATH 220, MATH 221, MATH 234 or equivalent.",3 hours.,,Social & Beh Sci - Soc Sci,10026,ONL,,,,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Buckley, B"
2017,Winter,KV,ESE,"Earth, Society, and Environment",118,Natural Disasters,Same as GEOL 118 and GLBL 118. See GEOL 118.,3 hours.,1PS,Nat Sci & Tech - Phys Sciences,10008,A  ,"This section has one or more proctored exams, which may carry additional fees. For ProctorU technical specifications and additional information visit: http://citl.illinois.edu/services/for-students/proctoru.",,Physical Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Altaner, S"
2017,Winter,KV,ESE,"Earth, Society, and Environment",120,Severe and Hazardous Weather,Same as ATMS 120. See ATMS 120.,3 hours.,1PS,Nat Sci & Tech - Phys Sciences,10038,ONL,,,"Physical Sciences, and Quant Reasoning II course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Snodgrass, E"
2017,Winter,KV,ESE,"Earth, Society, and Environment",120,Severe and Hazardous Weather,Same as ATMS 120. See ATMS 120.,3 hours.,1QR2,Quantitative Reasoning II,10038,ONL,,,"Physical Sciences, and Quant Reasoning II course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Snodgrass, E"
2017,Winter,KV,ESE,"Earth, Society, and Environment",210,Social & Environmental Issues,Same as GEOG 210. See GEOG 210.,3 hours.,1SS,Social & Beh Sci - Soc Sci,10010,ONL,,,Social Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Stock, R"
2017,Winter,KV,GEOG,Geography,210,Social & Environmental Issues,"Introduction to the complex relationship between people and the natural environment from a social science perspective. Explores different approaches to environmental issues, and examines the role of population change, political economy, technologies, environmental policymaking, and social institutions in causing and resolving contemporary social and environmental global issues. Same as ESE 210.",3 hours.,1SS,Social & Beh Sci - Soc Sci,10004,ONL,,,Social Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Stock, R"
2017,Winter,KV,GEOL,Geology,100,Planet Earth,"Introduces non-science majors to physical aspects (earthquakes, volcanoes, floods, tsunamis, mountains, plate tectonics) and historical aspects (formation of earth and life, dinosaurs, ice age, evolution of climate) in earth science. Presents information on earth resources, natural hazards, and development of natural landscapes. Focuses on humanistic issues; provides context for understanding environmental change. Optional lab demonstrations and field trips with co-registration in GEOL 110. Credit is not given for both GEOL 100 and GEOL 101, GEOL 103 or GEOL 107.",3 hours.,1PS,Nat Sci & Tech - Phys Sciences,10006,A  ,"This section has one or more proctored exams, which may carry additional fees. For ProctorU technical specifications and additional information visit: http://citl.illinois.edu/services/for-students/proctoru.",,Physical Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Tomkin, J"
2017,Winter,KV,GEOL,Geology,118,Natural Disasters,"Introduces the nature, causes, risks, effects, and prediction of natural disasters including earthquakes, volcanoes, landslides, subsidence, global climate change, severe weather, coastal erosion, floods, mass extinctions, and meteorite  impacts; covers scientific principles and case histories of natural disasters as well as human responses (societal impact, mitigation strategies, and public policy). Same as ESE 118 and GLBL 118.",3 hours.,1PS,Nat Sci & Tech - Phys Sciences,10007,A  ,"This section has one or more proctored exams, which may carry additional fees. For ProctorU technical specifications and additional information visit: http://citl.illinois.edu/services/for-students/proctoru.",,Physical Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Altaner, S"
2017,Winter,KV,GLBL,Global Studies,118,Natural Disasters,Same as ESE 118 and GEOL 118. See GEOL 118.,3 hours.,1PS,Nat Sci & Tech - Phys Sciences,10009,A  ,"This section has one or more proctored exams, which may carry additional fees. For ProctorU technical specifications and additional information visit: http://citl.illinois.edu/services/for-students/proctoru.",,Physical Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Altaner, S"
2017,Winter,KV,GWS,Gender and Women's Studies,356,Sex & Gender in Popular Media,Same as MACS 356. See MACS 356.,3 hours.,1WCC,Cultural Studies - Western,10012,A  ,,,Western Compartv Cult course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Valdivia, A"
2017,Winter,KV,GWS,Gender and Women's Studies,356,Sex & Gender in Popular Media,Same as MACS 356. See MACS 356.,3 hours.,1WCC,Cultural Studies - Western,10025,B  ,,,Western Compartv Cult course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Cole, C"
2017,Winter,KT,MACS,Media and Cinema Studies,356,Sex & Gender in Popular Media,"Examines the notion that the mass media influence our development as gendered individuals, looking at those who argue for and against this notion. Considers different forms of feminist theory applied to the study of mass media, the history and scholarly criticisms of the media and their portrayal of women, and feminist attempts to create alternatives to mainstream media images. Throughout, the course considers representation of minorities in the dominant media and examines newly created alternative representations. Same as GWS 356.",3 hours.,1WCC,Cultural Studies - Western,10011,A  ,,,Western Compartv Cult course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Valdivia, A"
2017,Winter,KT,MACS,Media and Cinema Studies,356,Sex & Gender in Popular Media,"Examines the notion that the mass media influence our development as gendered individuals, looking at those who argue for and against this notion. Considers different forms of feminist theory applied to the study of mass media, the history and scholarly criticisms of the media and their portrayal of women, and feminist attempts to create alternatives to mainstream media images. Throughout, the course considers representation of minorities in the dominant media and examines newly created alternative representations. Same as GWS 356.",3 hours.,1WCC,Cultural Studies - Western,10024,B  ,,,Western Compartv Cult course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Cole, C"
2017,Winter,KR,MUS,Music,130,Introd to the Art of Music,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",3 hours.,1WCC,Cultural Studies - Western,10031,A  ,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. NOTE:  This course will be run completely online through Compass.   **More sections may be added depending on demand for this course.",,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Jorge, J"
2017,Winter,KR,MUS,Music,130,Introd to the Art of Music,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",3 hours.,1LA,Humanities – Lit & Arts,10031,A  ,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. NOTE:  This course will be run completely online through Compass.   **More sections may be added depending on demand for this course.",,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Jorge, J"
2017,Winter,KR,MUS,Music,130,Introd to the Art of Music,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",3 hours.,1WCC,Cultural Studies - Western,10032,B  ,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. NOTE:  This course will be run completely online through Compass.   **More sections may be added depending on demand for this course.",,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Jorge, J"
2017,Winter,KR,MUS,Music,130,Introd to the Art of Music,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",3 hours.,1LA,Humanities – Lit & Arts,10032,B  ,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. NOTE:  This course will be run completely online through Compass.   **More sections may be added depending on demand for this course.",,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Jorge, J"
2017,Winter,KR,MUS,Music,130,Introd to the Art of Music,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",3 hours.,1WCC,Cultural Studies - Western,10033,C  ,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. NOTE:  This course will be run completely online through Compass.   **More sections may be added depending on demand for this course.",,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Jorge, J"
2017,Winter,KR,MUS,Music,130,Introd to the Art of Music,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",3 hours.,1LA,Humanities – Lit & Arts,10033,C  ,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. NOTE:  This course will be run completely online through Compass.   **More sections may be added depending on demand for this course.",,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Jorge, J"
2017,Winter,KR,MUS,Music,130,Introd to the Art of Music,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",3 hours.,1WCC,Cultural Studies - Western,10036,D  ,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. NOTE:  This course will be run completely online through Compass.   **More sections may be added depending on demand for this course.",,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Magee, G"
2017,Winter,KR,MUS,Music,130,Introd to the Art of Music,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",3 hours.,1LA,Humanities – Lit & Arts,10036,D  ,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. NOTE:  This course will be run completely online through Compass.   **More sections may be added depending on demand for this course.",,"Literature and the Arts, and Western Compartv Cult course.",,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Magee, G"
2017,Winter,KV,PS,Political Science,224,Politics of the National Parks,"Examines the politics of national parks in the United States, including creation of parks, local support or opposition to parks, and park policy as well as policy questions such as the value of wilderness ecosystem management, endangered species protection, and role of parks in national identity and remembrance of events such as the Civil War, the Indian wars, or the civil rights movement. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 10 hours.",2 OR 3 hours.,1SS,Social & Beh Sci - Soc Sci,10029,A  ,,,Social Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Britzman, K"
2017,Winter,KV,PSYC,Psychology,100,Intro Psych,"Study of human behavior with special reference to perception, learning, memory, thinking, emotional life, and individual differences in intelligence, aptitude, and personality; emphasis on the scientific nature of psychological investigations; and discussion of research methods and the relation of their results to daily life and everyday problems. Lectures, discussions, and six hours of participation as a subject in psychological experiments. Credit is not given for both PSYC 100 and either PSYC 103 or PSYC 105.",4 hours.,1BSC,Social & Beh Sci - Beh Sci,10034,A  ,,,Behavioral Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"DeCeanne, A"
2017,Winter,KV,PSYC,Psychology,100,Intro Psych,"Study of human behavior with special reference to perception, learning, memory, thinking, emotional life, and individual differences in intelligence, aptitude, and personality; emphasis on the scientific nature of psychological investigations; and discussion of research methods and the relation of their results to daily life and everyday problems. Lectures, discussions, and six hours of participation as a subject in psychological experiments. Credit is not given for both PSYC 100 and either PSYC 103 or PSYC 105.",4 hours.,1BSC,Social & Beh Sci - Beh Sci,10034,A  ,,,Behavioral Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Shenouda, C"
2017,Winter,KV,SOC,Sociology,100,Introduction to Sociology,"Examination of how societies grow and change; reciprocal effects of economic, political, community, familial, and scientific institutions on each other and on individual life changes; and social conflict, problems of bureaucratic growth and planned and unplanned social change.",4 hours.,1SS,Social & Beh Sci - Soc Sci,10018,ONL,Seats will be opened up gradually during early registration to allow opportunity for all level of students.  Students should periodically check the Course Explorer or Student Self-Service for open sections.,,Social Sciences course.,,,,1,2016-12-19Z,2017-01-13Z,0,ONL,Online,ARRANGED,,,,,"Steward, D"
