ID,name
1US,Cultural Studies - US Minority
1SS,Social & Beh Sci - Soc Sci
1HP,Humanities – Hist & Phil
1CLL,Advanced Composition
1NW,Cultural Studies - Non-West
1QR1,Quantitative Reasoning I
1LS,Nat Sci & Tech - Life Sciences
1WCC,Cultural Studies - Western
1LA,Humanities – Lit & Arts
1PS,Nat Sci & Tech - Phys Sciences
1QR2,Quantitative Reasoning II
1BSC,Social & Beh Sci - Beh Sci
1FC1,Composition I
